date;N;N7;age
2017-03-01;123;761;Total
2017-03-02;114;714;Total
2017-03-03;99;700;Total
2017-03-04;26;674;Total
2017-03-05;26;673;Total
2017-03-06;131;649;Total
2017-03-07;106;625;Total
2017-03-08;113;615;Total
2017-03-09;63;564;Total
2017-03-10;52;517;Total
2017-03-11;19;510;Total
2017-03-12;20;504;Total
2017-03-13;117;490;Total
2017-03-14;68;452;Total
2017-03-15;65;404;Total
2017-03-16;49;390;Total
2017-03-17;47;385;Total
2017-03-18;17;383;Total
2017-03-19;9;372;Total
2017-03-20;63;318;Total
2017-03-21;64;314;Total
2017-03-22;44;293;Total
2017-03-23;37;281;Total
2017-03-24;32;266;Total
2017-03-25;7;256;Total
2017-03-26;6;253;Total
2017-03-27;69;259;Total
2017-03-28;36;231;Total
2017-03-29;59;246;Total
2017-03-30;25;234;Total
2017-03-31;29;231;Total
2017-04-01;11;235;Total
2017-04-02;10;239;Total
2017-04-03;53;223;Total
2017-04-04;39;226;Total
2017-04-05;44;211;Total
2017-04-06;24;210;Total
2017-04-07;20;201;Total
2017-04-08;11;201;Total
2017-04-09;9;200;Total
2017-04-10;24;171;Total
2017-04-11;22;154;Total
2017-04-12;26;136;Total
2017-04-13;9;121;Total
2017-04-14;16;117;Total
2017-04-15;9;115;Total
2017-04-16;21;127;Total
2017-04-17;11;114;Total
2017-04-18;41;133;Total
2017-04-19;23;130;Total
2017-04-20;31;152;Total
2017-04-21;19;155;Total
2017-04-22;9;155;Total
2017-04-23;9;143;Total
2017-04-24;19;151;Total
2017-04-25;23;133;Total
